TITLE,
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,24/08/21
TIME,12:36:07
SPECTROMETER/DATA SYSTEM,
LOCALE,9226
RESOLUTION,
DELTAX,0.964233
XUNITS,1/CM
YUNITS,TRANSMITTANCE
FIRSTX,  249.7365
LASTX, 5000.5148
NPOINTS,    4928
FIRSTY,    83.39817
MAXY,    99.93680
MINY,    72.70588
XYDATA
249.7365,83.3982
250.7007,85.5272
251.6649,86.992
252.6292,87.8693
253.5934,88.0792
254.5576,87.7595
255.5219,87.5528
256.4861,87.9627
257.4503,88.9653
258.4146,90.3376
259.3788,91.8517
260.3430,93.281
261.3073,94.4003
262.2715,95.008
263.2357,94.9518
264.2000,94.1723
265.1642,92.8278
266.1284,91.438
267.0927,90.7101
268.0569,90.9759
269.0211,91.9666
269.9854,93.1781
270.9496,94.2228
271.9138,94.9165
272.8781,95.2409
273.8423,95.2763
274.8065,95.1259
275.7708,94.844
276.7350,94.3943
277.6992,93.6832
278.6635,92.7921
279.6277,92.3796
280.5919,92.9724
281.5562,93.6916
282.5204,93.8475
283.4846,93.6281
284.4489,93.3849
285.4131,93.3682
286.3773,93.7354
287.3416,94.5562
288.3058,95.7066
289.2701,96.6708
290.2343,96.7163
291.1985,95.7624
292.1628,94.5358
293.1270,93.6932
294.0912,93.481
295.0555,93.91
296.0197,94.8698
296.9839,96.1425
297.9482,97.4347
298.9124,98.4526
299.8766,98.933
300.8409,98.5874
301.8051,97.1724
302.7693,95.0933
303.7336,93.6033
304.6978,93.2443
305.6620,93.5311
306.6263,93.9802
307.5905,94.3608
308.5547,94.5462
309.5190,94.4251
310.4832,93.9092
311.4474,92.9873
312.4117,91.7711
313.3759,90.5089
314.3401,89.552
315.3044,89.2121
316.2686,89.5267
317.2328,90.2054
318.1971,90.8892
319.1613,91.3928
320.1255,91.7206
321.0898,91.9827
322.0540,92.3203
323.0182,92.8319
323.9825,93.4828
324.9467,94.0479
325.9109,94.1981
326.8752,93.774
327.8394,93.0015
328.8036,92.2868
329.7679,91.8468
330.7321,91.6573
331.6963,91.5991
332.6606,91.5632
333.6248,91.4963
334.5890,91.4256
335.5533,91.4349
336.5175,91.5678
337.4817,91.7705
338.4460,91.955
339.4102,92.0823
340.3744,92.1874
341.3387,92.3473
342.3029,92.593
343.2671,92.8285
344.2314,92.875
345.1956,92.6081
346.1598,92.0318
347.1241,91.2646
348.0883,90.5077
349.0525,90.0264
350.0168,90.0985
350.9810,90.8396
351.9452,91.9561
352.9095,92.8525
353.8737,93.1927
354.8379,93.1347
355.8022,93.0259
356.7664,93.0821
357.7306,93.2782
358.6949,93.4292
359.6591,93.37
360.6233,93.0772
361.5876,92.6687
362.5518,92.3326
363.5160,92.24
364.4803,92.47
365.4445,92.9711
366.4087,93.5776
367.3730,94.0733
368.3372,94.2826
369.3014,94.1524
370.2657,93.7586
371.2299,93.2198
372.1941,92.6119
373.1584,91.9744
374.1226,91.3932
375.0868,91.0564
376.0511,91.1309
377.0153,91.5438
377.9795,92.0273
378.9438,92.3537
379.9080,92.4279
380.8722,92.2512
381.8365,91.8792
382.8007,91.4035
383.7649,90.9294
384.7292,90.5282
385.6934,90.1981
386.6576,89.8911
387.6219,89.5788
388.5861,89.2803
389.5503,89.0424
390.5146,88.9105
391.4788,88.9068
392.4430,89.0252
393.4073,89.2406
394.3715,89.5269
395.3357,89.8655
396.3000,90.225
397.2642,90.5242
398.2284,90.6492
399.1927,90.5651
400.1569,90.3729
401.1211,90.2198
402.0854,90.2094
403.0496,90.3765
404.0138,90.6833
404.9781,91.0198
405.9423,91.2324
406.9065,91.1961
407.8708,90.8924
408.8350,90.4317
409.7992,90.0013
410.7635,89.7761
411.7277,89.8369
412.6919,90.1384
413.6562,90.5499
414.6204,90.9279
415.5846,91.1618
416.5489,91.1751
417.5131,90.9274
418.4773,90.4616
419.4416,89.948
420.4058,89.5764
421.3700,89.3936
422.3343,89.3241
423.2985,89.2787
424.2627,89.2059
425.2270,89.0961
426.1912,88.9699
427.1554,88.8592
428.1197,88.7856
429.0839,88.749
430.0481,88.7263
431.0124,88.6789
431.9766,88.5673
432.9408,88.3713
433.9051,88.1087
434.8693,87.8395
435.8335,87.6454
436.7978,87.5888
437.7620,87.6764
438.7262,87.8519
439.6905,88.0215
440.6547,88.0957
441.6189,88.0318
442.5832,87.8615
443.5474,87.68
444.5116,87.5919
445.4759,87.6502
446.4401,87.8374
447.4043,88.0903
448.3686,88.3394
449.3328,88.5366
450.2970,88.6659
451.2613,88.7378
452.2255,88.7749
453.1897,88.7968
454.1540,88.8115
455.1182,88.8153
456.0824,88.7986
457.0467,88.7541
458.0109,88.6829
458.9751,88.595
459.9394,88.5024
460.9036,88.4132
461.8678,88.3314
462.8321,88.2588
463.7963,88.1923
464.7605,88.1179
465.7248,88.0088
466.6890,87.8351
467.6532,87.583
468.6175,87.2717
469.5817,86.9536
470.5459,86.6975
471.5102,86.5542
472.4744,86.5232
473.4386,86.5516
474.4029,86.5783
475.3671,86.5848
476.3313,86.6064
477.2956,86.7037
478.2598,86.924
479.2240,87.2764
480.1883,87.7285
481.1525,88.2221
482.1167,88.6912
483.0810,89.0751
484.0452,89.3275
485.0094,89.4291
485.9737,89.3971
486.9379,89.2798
487.9021,89.1339
488.8664,89.0037
489.8306,88.9103
490.7948,88.8517
491.7591,88.8086
492.7233,88.7528
493.6875,88.6572
494.6518,88.5052
495.6160,88.2972
496.5802,88.0507
497.5445,87.7889
498.5087,87.5227
499.4729,87.2318
500.4372,86.866
501.4014,86.3768
502.3656,85.7739
503.3299,85.1626
504.2941,84.7176
505.2583,84.6058
